;Sr Concentration;Y Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Ba Concentration;Nd Concentration;Pb Concentration;Th Concentration;U Concentration;Mg Concentration;Al Concentration;P Concentration;S Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration
sample-1;1357;24;7;0;0;NaN;NaN;14;34;0;0;21144;0;1314;272792;2128;90;0;1166;16723;0;47;92;52
sample-2;1448;14;12;0;0;NaN;NaN;11;43;0;0;2294;0;856;407959;359;0;0;347;2381;0;20;31;15
sample-3;1213;11;11;0;0;NaN;NaN;10;38;0;13737;10741;0;1488;325909;870;0;0;221;7392;0;19;43;24
sample-4;1248;15;10;0;0;NaN;NaN;11;45;0;0;10948;0;1258;334531;1010;0;0;246;8006;0;21;43;28
sample-5;1601;11;14;0;0;NaN;NaN;11;55;0;14550;16336;0;2428;325743;1696;0;0;251;14475;0;17;37;38
sample-6;1616;15;12;0;0;NaN;NaN;13;49;0;10313;14207;213;1728;310379;1557;0;0;201;13275;0;0;30;37
sample-7;2435;18;14;0;0;NaN;NaN;11;46;0;0;6231;0;1220;361308;701;0;0;296;5359;0;0;29;24
sample-8;163;51;16;0;0;NaN;NaN;32;47;11;0;47314;762;2730;17148;4342;45;0;4062;41665;0;140;191;100
sample-9;1573;21;12;0;0;NaN;NaN;9;47;0;0;1783;0;778;386870;447;0;0;533;2016;0;29;22;13
sample-10;737;89;24;0;0;NaN;NaN;68;54;0;15780;38051;1377;2831;164214;4142;151;0;15312;60064;0;361;384;168
sample-11;1710;21;20;0;0;NaN;NaN;9;54;0;0;1597;0;686;430950;415;0;0;968;3013;0;36;34;12
sample-12;1500;15;18;0;0;NaN;NaN;13;44;0;0;3884;0;1043;376252;725;39;0;877;6323;0;22;45;20
sample-13;1672;16;17;0;0;NaN;NaN;14;48;0;0;3164;216;1196;402360;543;38;0;1117;5721;0;20;41;23
sample-14;1551;16;18;0;0;NaN;NaN;12;59;0;11871;2483;0;1036;426005;510;42;0;976;5400;0;32;42;21
sample-15;1499;16;15;0;0;NaN;NaN;13;43;0;0;3105;0;1235;390844;688;0;0;1183;7199;0;22;26;22
sample-16;1689;20;20;0;0;NaN;NaN;24;52;0;11531;4402;310;1536;395338;1117;61;0;1952;12001;0;0;45;38
sample-17;1517;16;15;0;0;NaN;NaN;13;53;0;0;6862;0;1669;347391;1741;47;0;630;11618;0;0;38;28
sample-18;1309;15;13;0;0;NaN;NaN;8;40;0;13457;7574;0;1446;325498;2058;0;0;563;14630;0;0;33;28
sample-19;1571;19;15;0;0;NaN;NaN;7;43;0;0;4216;0;949;356248;1497;55;0;780;10995;0;0;39;23
sample-20;1611;19;16;0;0;NaN;NaN;10;41;0;0;1328;0;856;385338;346;0;0;972;3671;0;0;33;17
sample-21;1781;27;19;0;0;NaN;NaN;8;53;0;0;1283;0;513;414451;297;0;0;1060;3058;0;30;35;18
sample-22;1213;11;11;0;0;NaN;NaN;10;38;0;13737;10741;0;1488;325909;870;0;0;221;7392;0;19;43;24
sample-23;1248;15;10;0;0;NaN;NaN;11;45;0;0;10948;0;1258;334531;1010;0;0;246;8006;0;21;43;28
sample-24;1333;16;13;0;0;NaN;NaN;9;52;0;0;10678;0;1017;371790;1094;0;0;275;8942;0;23;39;27
sample-25;1235;14;8;0;0;NaN;NaN;17;38;0;0;11451;0;1696;324007;1062;35;0;302;7885;0;0;34;32
sample-26;1249;14;10;0;0;NaN;NaN;18;37;0;0;10938;0;1578;325809;1105;64;0;362;8094;0;18;34;32
sample-27;1371;16;18;0;0;NaN;NaN;21;54;0;0;13039;0;1941;430187;1387;70;0;474;11406;0;31;53;49
sample-28;1249;12;12;0;0;NaN;NaN;17;38;0;0;9942;0;1428;333567;1122;43;0;373;8194;0;0;34;35
sample-29;1263;14;0;0;0;NaN;NaN;15;33;0;0;10439;0;1141;326546;1280;0;0;326;8730;0;16;40;35
sample-30;1262;13;9;0;0;NaN;NaN;14;39;0;0;9975;0;1407;340765;1062;0;0;225;8096;0;20;32;33
sample-31;1337;16;14;0;0;NaN;NaN;17;39;0;0;12599;0;1410;369695;1302;90;0;327;10502;0;0;47;43
sample-32;1237;15;7;0;0;NaN;NaN;18;38;0;0;12426;0;1300;308864;1270;48;0;248;9151;0;19;41;36
sample-33;1230;14;6;0;0;NaN;NaN;14;34;0;0;13503;0;1200;300070;1285;66;0;226;9939;0;22;33;35
sample-34;737;89;24;0;0;NaN;NaN;68;54;0;15780;38051;1377;2831;164214;4142;151;0;15312;60064;0;361;384;168
sample-35;734;99;24;0;0;NaN;NaN;66;45;0;18876;33918;1363;2583;175550;4317;141;0;15924;60932;0;381;387;173
sample-36;817;146;24;0;0;NaN;NaN;68;48;11;13956;35172;1771;2206;209923;5114;167;66;17008;64294;0;403;427;178
sample-37;763;143;26;0;0;NaN;NaN;70;52;0;13216;33755;1591;2893;174452;3996;147;0;13913;53267;0;326;345;170
sample-38;848;130;24;0;0;NaN;NaN;68;50;0;12666;30604;1376;2767;216305;4377;173;0;14236;55232;0;356;367;167
sample-39;1142;86;19;0;0;NaN;NaN;41;44;0;0;13152;580;1413;280701;2318;99;0;6846;26629;0;167;176;89
sample-40;1405;43;22;0;0;NaN;NaN;29;49;0;0;6780;197;1017;367796;1263;56;0;3063;13602;0;71;93;59
sample-41;1424;29;15;0;0;NaN;NaN;20;41;0;0;4222;0;953;352737;986;61;0;1943;9177;0;48;56;43
sample-42;1428;30;18;0;0;NaN;NaN;25;50;0;0;5448;0;999;364301;1180;55;0;2359;10692;0;53;60;48
sample-43;1400;26;12;0;0;NaN;NaN;20;48;0;0;4455;0;855;340768;855;73;0;1708;8162;0;44;50;42
sample-44;1385;26;10;0;0;NaN;NaN;22;36;0;0;3453;0;1047;338177;864;74;0;1808;8146;0;45;47;39
sample-45;1432;24;15;0;0;NaN;NaN;19;42;0;0;4073;0;1115;355885;866;45;0;1597;7789;0;38;58;41
