Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
IN_KC07_0cm,0,7082,21144,503,62999,339,0,284,1314,28,5213,40,272792,887,2128,88,90,12,0,145,1166,27,16723,91,0,301,47,5,92,4,52,3,5,1,0,21,45,1,1357,6,24,1,72,2,12,1,7,2,0,923,0,1078,0,1664,0,2146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,374,0,157,0,176,14,2,0,535,34,4,0,342,614669,1277
IN_KC07_2cm,0,7279,18065,503,55496,326,0,306,1180,28,4823,40,278573,957,1992,90,107,12,0,156,1145,28,16309,94,0,310,42,6,90,4,47,3,4,1,0,22,44,1,1431,7,22,1,67,2,17,1,13,2,0,962,0,1125,0,1713,0,2211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,391,0,164,0,184,15,2,0,570,43,4,0,365,620472,1328
IN_KC03_2cm,0,6067,2294,390,10484,142,0,282,856,25,175,24,407959,1343,359,66,0,89,0,141,347,18,2381,33,0,141,20,6,31,4,15,2,0,40,0,25,13,1,1448,7,14,1,28,2,12,1,12,2,0,1083,0,1265,0,1924,0,2460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,409,0,187,0,194,11,2,0,639,43,5,0,417,573496,1412
IN_MC02_0-1cm,13737,3088,10741,439,33666,258,0,275,1488,28,1875,30,325909,1459,870,71,0,80,0,135,221,15,7392,61,0,215,19,5,43,4,24,2,0,35,0,21,27,1,1213,7,11,1,51,2,13,1,11,2,0,988,0,1159,0,1776,0,2289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,362,0,159,6,2,10,2,0,563,38,4,0,359,602635,2284
IN_MC02_1-2cm,0,6201,10948,435,35060,240,0,274,1258,26,1969,29,334531,1089,1010,74,0,85,0,139,246,15,8006,59,0,223,21,5,43,4,28,2,4,1,0,22,25,1,1248,6,15,1,60,2,11,1,10,2,0,994,0,1164,0,1784,0,2286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,375,0,168,0,181,11,2,0,575,45,4,0,371,605453,1301
IN_MC02_2-3cm,0,6247,10678,456,36665,254,0,276,1017,27,2047,32,371790,1224,1094,81,0,89,0,153,275,17,8942,67,0,252,23,6,39,4,27,2,4,1,0,22,25,1,1333,7,16,1,58,2,13,1,13,2,0,1047,0,1220,0,1845,0,2355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,417,0,172,0,194,9,2,0,629,52,5,0,406,565881,1438
IN_MC01_0-1cm,14550,3185,16336,497,56932,373,0,281,2428,34,3318,38,325743,1486,1696,89,0,91,0,154,251,17,14475,99,0,303,17,5,37,4,38,3,6,1,0,23,43,1,1601,9,11,1,68,2,16,1,14,2,0,989,0,1149,0,1736,0,2235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,391,0,173,0,187,11,2,0,611,55,5,0,411,562352,2304
IN_MC01_1-2cm,10313,3078,14207,468,50591,338,213,58,1728,30,2906,35,310379,1397,1557,84,0,88,0,150,201,15,13275,91,0,285,0,88,30,3,37,3,3,1,0,21,38,1,1616,9,15,1,67,2,13,1,12,2,0,977,0,1135,0,1740,0,2229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,382,0,164,6,2,13,2,0,587,49,5,0,395,592731,2279
IN_MC01_2-3cm,11665,2953,14386,453,47615,316,196,55,1701,29,2640,32,289178,1268,1392,77,0,81,0,141,223,15,11535,79,0,253,19,5,24,3,31,2,5,1,0,20,32,1,1502,8,10,1,63,2,11,1,9,2,0,951,0,1112,0,1718,0,2214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,348,0,154,0,169,8,1,0,554,46,4,0,356,617710,2228
CR_MC04_0-1cm,0,6491,6231,426,48239,296,0,280,1220,28,1112,29,361308,1200,701,74,0,87,0,149,296,17,5359,50,0,196,0,100,29,4,24,2,5,1,0,24,20,1,2435,10,18,1,54,3,13,1,14,2,0,1035,0,1210,0,1845,0,2357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,398,0,177,0,198,11,2,0,674,46,5,0,473,572864,1428
CR_MC04_1-2cm,10067,3286,5245,417,48859,342,0,286,1234,29,1005,29,326763,1547,590,70,0,84,0,143,230,16,4627,48,0,178,0,96,34,4,15,2,5,1,0,25,19,1,2314,13,13,1,51,2,10,1,12,2,0,1037,0,1217,0,1862,0,2397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,384,0,171,7,2,10,2,0,660,57,5,0,452,598835,2413
CR_MC04_2-3cm,0,6596,5541,412,48665,295,0,278,1164,28,1006,28,341708,1139,665,71,0,85,0,146,251,16,4786,46,0,181,0,94,30,3,17,2,0,39,0,23,19,1,2350,10,14,1,59,3,13,1,13,2,0,1021,0,1192,0,1821,0,2332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,384,0,164,0,191,11,2,0,653,51,5,0,452,593637,1368
CR_MC06_0-1cm,0,12476,47314,653,277393,931,762,53,2730,42,14567,78,17148,76,4342,97,45,10,0,146,4062,42,41665,157,0,417,140,6,191,5,100,3,12,1,0,16,89,1,163,2,51,1,191,2,21,1,16,2,0,709,0,815,0,1241,0,1590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,303,0,117,0,139,32,2,0,410,47,4,11,2,588908,1287
CR_MC06_1-2cm,12301,2776,45892,662,280639,1214,653,53,2095,40,15135,90,16650,88,4495,100,55,10,0,142,3739,42,39123,184,0,404,130,6,169,5,88,3,12,1,0,16,84,1,158,2,55,1,229,2,22,1,15,2,20,5,0,823,0,1249,0,1583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,304,0,116,0,133,28,2,0,416,51,4,11,2,578151,2070
CR_MC06_2-3cm,12747,3277,57877,815,368352,1683,912,75,2822,56,21779,135,26156,143,6616,141,113,14,0,186,5520,62,54665,276,0,545,225,9,213,7,122,4,14,2,0,19,92,2,165,2,60,2,256,3,23,2,19,2,21,6,0,931,0,1399,0,1789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,380,0,140,9,2,38,2,0,487,57,5,11,2,441118,2150
