Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
IN_KC07_0cm,NaN,NaN,NaN,NaN,NaN,NaN,0,5747,3230,220,12682,114,417089,2135,1374,15,83,2,21,3,811,7,15793,108,54,17,39,6,92,4,49,3,7,1,0,1,49,1,2305,60,24,5,116,11,7,2,0,12,0,12,0,14,0,27,0,29,1034,41,0,164,317,100,0,397,0,1046,0,64,0,16,0,5,0,6,16,2,0,15,44,13,0,25,NaN,NaN
IN_KC07_2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,5880,3170,227,11978,112,428506,2240,1237,14,77,2,18,3,755,7,15434,111,68,18,43,6,83,4,47,3,6,1,0,2,47,1,2592,72,29,5,90,12,9,3,0,12,0,12,0,16,0,30,0,32,899,43,0,180,0,324,0,433,0,1129,0,79,17,6,0,5,0,6,14,2,0,16,0,40,0,27,NaN,NaN
IN_KC03_2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7796,3093,282,2908,68,718807,3856,240,6,27,1,0,6,188,4,2218,32,0,23,0,18,33,3,8,2,0,3,0,2,14,1,2733,82,0,12,68,13,0,6,0,14,0,14,0,17,0,33,0,35,323,37,0,207,0,365,0,479,0,1264,0,86,0,17,5,2,7,2,8,2,0,17,0,43,0,35,NaN,NaN
IN_MC02_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6653,3709,250,6389,82,557612,2875,602,9,28,1,0,6,164,3,6685,58,36,12,0,16,37,3,24,2,4,1,0,2,31,1,2094,57,20,4,62,10,0,7,0,12,0,12,0,16,0,28,0,30,265,32,0,175,0,311,0,413,0,1090,0,67,0,16,0,5,0,5,9,1,0,15,0,33,0,27,NaN,NaN
IN_MC02_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6777,3765,256,7094,87,574203,2996,680,10,28,1,8,2,171,4,7165,61,0,36,0,16,33,3,30,2,3,1,0,2,28,1,2162,59,0,11,82,10,0,6,0,11,0,12,0,15,0,28,0,30,322,31,0,173,0,309,0,399,0,1076,0,67,0,16,0,5,0,6,8,1,0,15,0,36,0,27,NaN,NaN
IN_MC02_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7035,2900,260,7011,89,599743,3194,685,10,30,1,10,2,174,4,8071,72,0,41,0,18,39,3,29,2,0,4,0,2,31,1,2535,77,17,5,84,13,0,8,0,14,0,15,0,18,0,33,0,36,273,35,0,195,0,354,0,467,0,1215,0,72,0,18,6,2,0,6,12,2,0,17,0,42,0,35,NaN,NaN
IN_MC01_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6386,5026,255,8832,97,494650,2609,1099,13,33,2,26,2,163,4,13442,102,0,51,0,17,24,3,40,3,5,1,0,2,48,1,3157,93,16,5,103,14,0,8,0,15,0,15,0,18,0,32,0,35,150,35,0,199,0,354,0,461,0,1220,0,84,0,17,0,5,0,6,13,2,0,17,0,48,0,36,NaN,NaN
IN_MC01_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6209,4141,242,8284,92,490498,2525,928,12,25,1,16,2,156,3,12119,90,0,47,0,16,24,3,39,2,4,1,0,2,40,1,2898,79,0,12,105,13,0,7,0,13,0,14,0,17,0,29,0,32,210,32,0,181,0,327,0,422,0,1123,0,83,0,16,5,2,0,6,10,2,0,16,0,43,0,32,NaN,NaN
IN_MC01_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6273,4043,242,7917,90,495690,2554,923,12,28,1,19,2,146,3,10783,80,0,43,16,5,19,3,35,2,4,1,0,1,34,1,2494,62,15,4,77,10,7,2,0,11,0,11,0,14,0,27,0,28,225,29,0,164,0,295,0,386,0,1010,0,57,0,15,0,5,0,5,9,1,0,15,0,35,0,26,NaN,NaN
CR_MC04_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6806,3257,252,4753,75,564012,2966,428,8,23,1,12,2,169,4,4797,51,0,33,0,17,27,3,23,2,6,1,0,2,23,1,4654,134,28,6,0,47,0,9,0,16,0,14,0,18,0,33,0,36,284,36,0,202,0,371,0,474,0,1268,0,77,0,17,0,5,0,6,11,2,0,19,73,20,0,41,NaN,NaN
