Sample-ID;Mg Concentration;Al Concentration;Si Concentration;P Concentration;S Concentration;K Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration;As Concentration;Se Concentration;Rb Concentration;Sr Concentration;Y Concentration;Zr Concentration;Nb Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Sn Concentration;Sb Concentration;Ba Concentration;La Concentration;Ce Concentration;Pr Concentration;Nd Concentration;Ta Concentration;W Concentration;Au Concentration;Hg Concentration;Pb Concentration;Bi Concentration;Th Concentration;U Concentration;LE Concentration
sample-1;0;21144;62999;0;1314;5213;272792;2128;90;0;1166;16723;0;47;92;52;5;0;45;1357;24;72;12;7;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;14;0;34;0;614669
sample-2;0;18065;55496;0;1180;4823;278573;1992;107;0;1145;16309;0;42;90;47;4;0;44;1431;22;67;17;13;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;15;0;43;0;620472
sample-3;0;2294;10484;0;856;175;407959;359;0;0;347;2381;0;20;31;15;0;0;13;1448;14;28;12;12;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;11;0;43;0;573496
sample-4;13737;10741;33666;0;1488;1875;325909;870;0;0;221;7392;0;19;43;24;0;0;27;1213;11;51;13;11;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;6;10;0;38;0;602635
sample-5;0;10948;35060;0;1258;1969;334531;1010;0;0;246;8006;0;21;43;28;4;0;25;1248;15;60;11;10;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;11;0;45;0;605453
sample-6;0;10678;36665;0;1017;2047;371790;1094;0;0;275;8942;0;23;39;27;4;0;25;1333;16;58;13;13;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;9;0;52;0;565881
sample-7;14550;16336;56932;0;2428;3318;325743;1696;0;0;251;14475;0;17;37;38;6;0;43;1601;11;68;16;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;11;0;55;0;562352
sample-8;10313;14207;50591;213;1728;2906;310379;1557;0;0;201;13275;0;0;30;37;3;0;38;1616;15;67;13;12;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;6;13;0;49;0;592731
sample-9;11665;14386;47615;196;1701;2640;289178;1392;0;0;223;11535;0;19;24;31;5;0;32;1502;10;63;11;9;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;8;0;46;0;617710
sample-10;0;6231;48239;0;1220;1112;361308;701;0;0;296;5359;0;0;29;24;5;0;20;2435;18;54;13;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;11;0;46;0;572864
