Sampe-ID;Mg Concentration;Al Concentration;Si Concentration;P Concentration;S Concentration;K Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration;As Concentration;Se Concentration;Rb Concentration;Sr Concentration;Y Concentration;Zr Concentration;Nb Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Sn Concentration;Sb Concentration;Ba Concentration;La Concentration;Ce Concentration;Pr Concentration;Nd Concentration;Ta Concentration;W Concentration;Au Concentration;Hg Concentration;Pb Concentration;Bi Concentration;Th Concentration;U Concentration;LE Concentration
sample-1;NaN;NaN;NaN;0;3230;12682;417089;1374;83;21;811;15793;54;39;92;49;7;0;49;2305;24;116;7;0;0;0;0;0;1034;0;317;0;0;0;0;0;0;16;0;44;0;NaN
sample-2;NaN;NaN;NaN;0;3170;11978;428506;1237;77;18;755;15434;68;43;83;47;6;0;47;2592;29;90;9;0;0;0;0;0;899;0;0;0;0;0;17;0;0;14;0;0;0;NaN
sample-3;NaN;NaN;NaN;0;3093;2908;718807;240;27;0;188;2218;0;0;33;8;0;0;14;2733;0;68;0;0;0;0;0;0;323;0;0;0;0;0;0;5;7;8;0;0;0;NaN
sample-4;NaN;NaN;NaN;0;3709;6389;557612;602;28;0;164;6685;36;0;37;24;4;0;31;2094;20;62;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;9;0;0;0;NaN
sample-5;NaN;NaN;NaN;0;3765;7094;574203;680;28;8;171;7165;0;0;33;30;3;0;28;2162;0;82;0;0;0;0;0;0;322;0;0;0;0;0;0;0;0;8;0;0;0;NaN
sample-6;NaN;NaN;NaN;0;2900;7011;599743;685;30;10;174;8071;0;0;39;29;0;0;31;2535;17;84;0;0;0;0;0;0;273;0;0;0;0;0;0;6;0;12;0;0;0;NaN
sample-7;NaN;NaN;NaN;0;5026;8832;494650;1099;33;26;163;13442;0;0;24;40;5;0;48;3157;16;103;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;13;0;0;0;NaN
sample-8;NaN;NaN;NaN;0;4141;8284;490498;928;25;16;156;12119;0;0;24;39;4;0;40;2898;0;105;0;0;0;0;0;0;210;0;0;0;0;0;0;5;0;10;0;0;0;NaN
sample-9;NaN;NaN;NaN;0;4043;7917;495690;923;28;19;146;10783;0;16;19;35;4;0;34;2494;15;77;7;0;0;0;0;0;225;0;0;0;0;0;0;0;0;9;0;0;0;NaN
sample-10;NaN;NaN;NaN;0;3257;4753;564012;428;23;12;169;4797;0;0;27;23;6;0;23;4654;28;0;0;0;0;0;0;0;284;0;0;0;0;0;0;0;0;11;0;73;0;NaN
sample-11;NaN;NaN;NaN;0;3463;4620;547731;403;22;11;155;4224;0;0;24;19;0;0;21;3967;20;72;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;12;0;0;0;NaN
sample-12;NaN;NaN;NaN;0;3636;4704;558867;424;24;11;159;4281;0;0;23;15;0;0;20;4357;0;68;0;0;0;0;0;0;290;0;0;0;0;0;0;0;0;12;0;0;0;NaN
sample-13;NaN;NaN;NaN;0;1979;14142;15640;3355;82;80;3211;45867;0;134;173;92;14;0;94;296;72;361;17;0;0;0;0;0;314;0;0;0;0;0;0;0;0;29;0;0;0;NaN
sample-14;NaN;NaN;NaN;1953;1446;14759;15334;3394;80;81;2962;42264;0;135;152;88;10;0;91;333;84;429;23;0;0;0;0;0;385;0;0;0;0;0;0;0;0;29;0;37;0;NaN
sample-15;NaN;NaN;NaN;0;1959;19964;22447;4683;124;122;4133;62551;0;227;200;116;15;0;97;370;93;507;17;0;0;0;0;0;382;0;0;0;0;0;23;0;0;33;0;0;0;NaN
sample-16;NaN;NaN;NaN;0;3575;2507;713107;245;28;0;316;1797;22;0;25;14;5;0;12;2719;21;35;0;0;0;0;0;0;379;0;0;0;0;0;0;0;0;7;0;0;0;NaN
sample-17;NaN;NaN;NaN;0;3046;2503;741680;263;32;0;332;1901;0;0;20;15;5;0;11;2883;19;0;0;0;0;0;0;0;432;0;0;0;0;0;0;0;6;8;0;0;0;NaN
sample-18;NaN;NaN;NaN;0;3563;2352;711447;251;31;0;301;1775;0;0;25;13;4;0;9;2605;25;32;0;0;0;0;29;0;373;0;0;0;0;0;0;0;0;7;0;0;0;NaN
sample-19;NaN;NaN;NaN;0;4558;19834;209803;3392;146;66;12224;73101;0;405;355;171;28;0;84;1450;147;225;18;21;0;0;0;0;857;0;0;0;0;0;25;0;0;74;0;0;0;NaN
sample-20;NaN;NaN;NaN;0;4151;19937;232206;3396;140;62;12285;74813;0;397;362;175;27;0;76;1545;175;194;0;21;0;0;0;0;768;0;0;0;0;0;0;0;0;70;0;0;0;NaN
sample-21;NaN;NaN;NaN;0;3843;20518;275882;3641;154;78;11986;78409;0;460;389;187;25;0;71;1610;271;204;0;0;0;0;0;0;798;0;0;0;0;0;0;0;0;65;0;0;0;NaN
