SampleID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
IN_KC07_0cm,1180.60962880788,5839.15064807211,22908.4434253817,901.635052963275,54142.3919565563,615.077141612088,257.207538609389,374.434604302694,689.56536128295,183.42310705541,4484.29343239779,79.3974791065671,205893.712469218,20849.4452283178,1283.94454009378,77.1843496116174,52.5302306299522,4.22574644248831,16.8429099673272,2.55786120671072,849.224398465271,51.0561297756503,11621.8701824415,343.948574478867,54,17,28.7699485915869,3.828218727395,55.5404021294925,3.09139000956226,20.6172143735727,1.97355237639321,8.82572198666147,55.9605496737491,4.52899799433128,58.7920553233212,43.199513925303,55.9621321233003,1301.47327421321,64.2383268207933,18.1751114138498,1.0126331166832,66.401823483886,55.9841719502702,14.8411355759237,55.9606756533165,0.614820103618902,5.95014373778653,0,12,0,14,52.7556151301746,28.3015691078189,52.7556151301746,29.0178438537612,1497.31144832238,88.7295072865584,52.7556151301746,101.946839299991,244.684764044019,64.8199019441728,52.7556151301746,241.473253151332,0,1046,52.7556151301746,45.1136152470685,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,4.44153412307772,1.49916568290331,52.7556151301746,24.8238755668784,34,4,0,342,528217.136926316,5370.34433821643
IN_KC07_2cm,1180.60962880788,5996.63167930566,19561.4783343451,853.041276880703,47694.7279336656,553.990615734375,257.207538609389,403.075321276705,526.299220073935,171.828347119764,4149.14896099603,77.571870495639,212015.67196637,21061.2043882047,1192.91984303283,77.0810787408248,47.7924354240899,4.02939751517492,15.0760190292233,2.49775201054056,799.656486352424,50.9298758651765,11336.6785463078,341.704816302964,68,18,31.0340889098552,3.83444296145859,49.8171703749905,3.0624388358218,17.6885846939683,1.95984288825136,7.96637718819543,55.9605369044516,4.52899799433128,59.0614944688538,42.340169126837,55.9620670777529,1382.29921981582,66.3307916291415,16.4054586249905,1.00902813657167,62.1050994915558,55.9836835486448,19.1378595682539,55.9608048469227,0.614820103618902,5.95014373778653,0,12,0,16,52.7556151301746,29.3881474779226,52.7556151301746,30.1515930802828,1301.17924673895,85.7729480158449,52.7556151301746,111.403721661278,52.7556151301746,197.523080868725,52.7556151301746,263.177897593297,0,1129,52.7556151301746,53.1181943792844,63.0483455135669,23.3877384054666,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,3.01993364767561,1.49636624866819,52.7556151301746,25.0517192310941,43,4,0,365,533203.914791814,5427.97650563574
IN_KC03_2cm,1180.60962880788,5030.18500303407,2417.92963322876,618.396454415327,9013.89986511228,161.457046913144,257.207538609389,371.832244076792,131.536311479003,154.597601388244,154.914337725888,59.6537881596014,367679.240678187,27473.1544719413,99.9541790582866,56.2579240116096,8.3108087085704,2.60993607546422,4.47467340059986,3.80626647164413,297.781376209847,49.8119190084878,1742.1154833359,280.274866350044,0,23,6.69458048847053,10.3273162934586,18.0214384055348,2.43115411190171,-1.05464525549967,1.4056119915332,4.52899799433128,65.6688399131015,4.52899799433128,59.9365071550569,15.7004803743898,55.9606988781659,1400.86734245426,66.7919783189599,9.32684746955314,0.998220852556044,28.5906523513804,55.9809948356437,14.8411355759237,55.9606756533165,0.614820103618902,6.93886675531402,0,14,0,17,52.7556151301746,30.5441642234802,52.7556151301746,31.3496447562642,464.348519982975,63.2501869056197,52.7556151301746,127.440715036754,52.7556151301746,222.195312161724,52.7556151301746,290.93156952247,0,1264,52.7556151301746,56.9643501996475,52.7556151301746,25.2920071477857,55.7828887723488,23.1349050348975,56.9937982292185,23.1350146432169,-1.24486777853074,-1.49436510495011,52.7556151301746,25.2920071477857,43,5,0,417,492835.333539073,5052.79361419267
IN_MC02_0-1cm,12330.7171103164,3507.03629313659,11600.0712779139,712.477090563459,28935.230983152,367.704765414673,257.207538609389,362.725939568854,901.567664046895,201.602274827313,1615.80049511815,63.6713070314053,281244.164813821,23689.6738141422,441.96609227996,60.1332292807793,9.10044124288079,2.61890267079769,4.47467340059986,3.80626647164413,276.537985304341,49.7375196771777,5194.03647045192,293.924827594034,36,12,6.69458048847053,9.21230445961811,20.5650969630913,2.43711107450001,4.21688816778819,1.40845944686011,4.52899799433128,63.5253412390564,4.52899799433128,58.7920553233212,27.7313075529143,55.9611612536043,1144.19035304055,60.7049287866387,6.67236828626414,0.99568417890719,48.3555827160992,55.9823401175986,15.7004803743898,55.9606988781659,0.614820103618902,5.95014373778653,0,12,0,16,52.7556151301746,28.6555485467435,52.7556151301746,29.3881474779226,380.084314858242,56.2097329220825,52.7556151301746,108.444076901215,52.7556151301746,189.708427109112,52.7556151301746,251.117800119293,0,1090,52.7556151301746,46.6829993031391,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.300423011676,-0.534067540829683,-0.846413892964027,52.7556151301746,24.8238755668784,38,4,0,359,517875.781621575,5515.18848254639
IN_MC02_1-2cm,1180.60962880788,5136.71315754862,11825.0864691593,711.796634132326,30133.1576322136,368.232374560893,257.207538609389,361.425296283246,621.334735106048,177.841962696224,1696.57890617396,63.5371163866016,290140.497477152,24057.7591076721,535.667986313295,62.3068087554637,9.10044124288079,2.61890267079769,9.18638256887694,1.93245829031631,282.733974318447,49.7981034736525,5617.0018438483,295.8652743041,0,36,6.69458048847053,9.21230445961811,18.0214384055348,2.43115411190171,6.55979191147169,1.41276136560363,7.96637718819543,55.9605369044516,4.52899799433128,59.0614944688538,26.0126179559822,55.9610795169389,1182.41884082557,61.4430206091099,10.2116738639828,0.999251618373067,56.0896859022936,55.9830546491271,13.9817907774577,55.9606537354062,0.614820103618902,5.45596838866175,0,12,0,15,52.7556151301746,28.6555485467435,52.7556151301746,29.3881474779226,462.895688860135,56.0113962476304,52.7556151301746,107.261275943094,52.7556151301746,188.506588174697,52.7556151301746,242.678635378469,0,1076,52.7556151301746,46.6829993031391,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,-1.24486777853074,-0.847004210818872,52.7556151301746,24.8238755668784,45,4,0,371,520297.415263653,5297.53475215016
IN_MC02_2-3cm,1180.60962880788,5173.30399376894,11531.5883936219,724.328602945597,31512.4060337516,386.164621266009,257.207538609389,364.026648573498,327.699361737596,161.009517247804,1763.60780045431,64.7694077487564,303835.41256494,24635.8672788174,591.889122733296,66.4642477972647,10.6797063115016,2.63916253006848,10.3643098609462,1.96430272640809,285.389398181635,49.8004897394563,6261.78293423756,300.203785854812,0,41,6.69458048847053,10.3273162934586,21.8369262418695,2.44037788245083,5.97406597555081,1.41151187683988,7.96637718819543,55.9605369044516,4.52899799433128,59.0614944688538,26.0126179559822,55.9610795169389,1275.25945401776,63.7324554760424,11.0965002584125,1.00037453250161,54.3709963053615,55.9828867201229,15.7004803743898,55.9606988781659,0.614820103618902,6.93886675531402,0,15,0,18,52.7556151301746,30.5441642234802,52.7556151301746,31.7620383751584,391.706963840964,59.9834601648818,52.7556151301746,120.302851103035,52.7556151301746,215.572520709709,52.7556151301746,283.689643596769,0,1215,52.7556151301746,49.3363187370606,52.7556151301746,25.5443881420183,56.3883435007837,23.1349595448996,52.7556151301746,23.386792046646,1.59833317227349,1.49463091507203,52.7556151301746,25.2920071477857,52,5,0,406,486291.422898754,4995.08453236455
IN_MC01_0-1cm,12990.6164611547,3640.17087856092,17682.0036209959,823.772406695302,48928.7470642628,585.64119953239,257.207538609389,370.531155157594,2046.86746058775,333.563931922312,2855.83503930465,70.7455633430101,247483.035457624,22355.7845874458,994.807267076636,74.3243450059302,13.0486039144327,3.00456714292726,19.7877281975004,2.32153153747615,275.652844016612,49.7918486116608,10073.2933756091,331.325474381777,0,51,6.69458048847053,9.76931993178731,12.2982066510328,2.42058660933538,12.4170512706804,1.94028301715999,9.68506678512751,55.9605637499947,4.52899799433128,59.3421556367286,41.4808243283709,55.9620033390473,1567.98044620021,71.3355313950764,6.67236828626414,0.99568417890719,62.9644442900219,55.9837786164927,18.2785147697879,55.9607763943333,0.614820103618902,7.43336490113596,0,15,0,18,52.7556151301746,30.1515930802828,52.7556151301746,31.3496447562642,213.008735731615,58.5373997705148,52.7556151301746,122.680474641799,52.7556151301746,215.572520709709,52.7556151301746,280.069137714123,0,1220,52.7556151301746,55.859659398223,52.7556151301746,25.2920071477857,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,2.30913340997455,1.49536528451212,52.7556151301746,25.2920071477857,55,5,0,411,483258.795104968,5201.22513837825
IN_MC01_1-2cm,9551.5100042026,3202.27183336022,15367.7169438875,774.372169470314,43479.6416971897,524.14528083099,536.196596903785,90.004500751298,1193.98463337647,231.367044943193,2501.78498233664,68.2300905754345,245256.673380705,22268.9981895933,901.774672286396,70.7060647469756,6.73154363994962,2.59436976057944,13.898091737154,2.07857468216356,269.456855002506,49.731396183809,9246.65095203316,323.512511449237,0,47,6.69458048847053,9.21230445961811,12.2982066510328,2.42058660933538,11.8313253347595,1.93852291077612,7.1070323897294,55.9605254421031,4.52899799433128,58.7920553233212,37.1841003360407,55.9617042482992,1584.36408382236,71.7643037666952,10.2116738639828,0.999251618373067,62.1050994915558,55.9836835486448,15.7004803743898,55.9606988781659,0.614820103618902,6.44445271249846,0,14,0,17,52.7556151301746,29.0178438537612,52.7556151301746,30.1515930802828,300.178603102029,55.437557150021,52.7556151301746,111.99608443851,52.7556151301746,199.327091202166,52.7556151301746,256.544272747525,0,1123,52.7556151301746,55.3089816537851,52.7556151301746,25.0517192310941,55.7828887723488,23.1349050348975,52.7556151301746,23.386792046646,0.176732696871375,1.49396339018134,52.7556151301746,25.0517192310941,49,5,0,395,509364.830737568,5434.5724438457
IN_MC01_2-3cm,10648.9072026447,3238.57986169096,15562.2952976698,766.118845996296,40922.2315769547,492.671816789937,513.92986455165,86.4074923784013,1161.0877243269,227.674179960905,2273.19926594467,66.3235375825961,248040.698405599,22375.070396937,791.34029717568,65.9471410148957,9.10044124288079,2.61890267079769,15.6649826752579,2.14521148065868,260.605442125212,49.7239641644917,8048.01943784799,313.029831693155,0,43,15.7511417615439,3.30556299605162,9.11863345408726,2.41642701084396,8.31696971923431,1.41720157254528,8.82572198666147,55.9605496737491,4.52899799433128,58.5339931693694,32.0280315452445,55.9613884660553,1459.84843789401,68.4069794928885,5.78754189183447,0.99502461589407,58.6677202976917,55.9833163398385,13.9817907774577,55.9606537354062,0.614820103618902,5.45596838866175,0,11,0,14,52.7556151301746,28.3015691078189,52.7556151301746,28.6555485467435,321.971069944632,52.0438746716071,52.7556151301746,101.946839299991,52.7556151301746,180.097118146127,52.7556151301746,234.844667439006,0,1010,52.7556151301746,41.530096231391,52.7556151301746,24.8238755668784,52.7556151301746,23.300423011676,52.7556151301746,23.300423011676,-0.534067540829683,-0.846413892964027,52.7556151301746,24.8238755668784,46,4,0,356,530830.404458451,5619.27190146228
CR_MC04_0-1cm,1180.60962880788,5367.56646354979,6697.56638652881,663.721883359164,41458.4627311975,487.915631219254,257.207538609389,369.230127891168,575.035381628865,175.039220650861,960.120413888566,61.9934707912777,284675.936801364,23832.545522966,328.854520196862,61.1803512044575,5.15227857132884,2.58200563960374,11.5422371530155,1.99938195390845,280.963691742988,49.7965249596912,3793.56643117695,286.964543238466,0,33,6.69458048847053,9.76931993178731,14.2059505692002,2.42367058813762,4.21688816778819,1.40845944686011,8.82572198666147,55.9605496737491,4.52899799433128,59.6338803810242,21.715893963652,55.9608980462637,2478.91069799183,97.4215869026821,12.8661530472718,1.00289554218295,50.9336171114973,56.0155346629704,15.7004803743898,55.9606988781659,0.614820103618902,7.92793141241413,0,14,0,18,52.7556151301746,30.5441642234802,52.7556151301746,31.7620383751584,407.688106192206,61.385163819329,52.7556151301746,124.464810683352,52.7556151301746,225.808666435783,52.7556151301746,287.913956295124,0,1268,52.7556151301746,52.0304818401867,52.7556151301746,25.2920071477857,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,0.887532934572434,1.49416353343548,52.7556151301746,25.8085074421769,46,5,0,473,492292.227626443,5050.87030287558
